pyproj.__version__ = 3.4.1
         2678 function calls (2617 primitive calls) in 0.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 base.py:324(ndim)
       11    0.000    0.000    0.000    0.000 common.py:362(apply_if_callable)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 nanops.py:588(nansum)
        1    0.000    0.000    0.000    0.000 generic.py:11443(_min_count_stat_function)
        7    0.000    0.000    0.000    0.000 array.py:358(__len__)
        4    0.000    0.000    0.000    0.000 frame.py:4271(_clear_item_cache)
        6    0.000    0.000    0.000    0.000 crs.py:350(_crs)
        7    0.000    0.000    0.000    0.000 blocks.py:500(dtype)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 series.py:708(_values)
        6    0.000    0.000    0.000    0.000 config.py:650(_warn_if_deprecated)
        2    0.000    0.000    0.000    0.000 blocks.py:2250(extend_blocks)
       23    0.000    0.000    0.000    0.000 geoseries.py:237(geometry)
        2    0.000    0.000    0.000    0.000 enum.py:358(__call__)
       16    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        3    0.000    0.000    0.000    0.000 geodataframe.py:396(crs)
        4    0.000    0.000    0.000    0.000 common.py:566(require_length_match)
        1    0.000    0.000    0.000    0.000 managers.py:1854(_consolidate_check)
        1    0.000    0.000    0.000    0.000 series.py:3194(_construct_result)
        1    0.000    0.000    0.000    0.000 generic.py:6045(dtypes)
        2    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        2    0.000    0.000    0.000    0.000 common.py:1278(is_bool_dtype)
        2    0.000    0.000    0.000    0.000 base.py:821(_view)
        1    0.000    0.000    0.096    0.096 transformer.py:96(__call__)
        1    0.000    0.000    0.000    0.000 common.py:1751(pandas_dtype)
        5    0.000    0.000    0.000    0.000 construction.py:461(ensure_wrapped_if_datetimelike)
        1    0.000    0.000    0.000    0.000 decorators.py:73(<listcomp>)
        6    0.000    0.000    0.000    0.000 common.py:151(cast_scalar_indexer)
        3    0.000    0.000    0.000    0.000 base.py:2581(is_object)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 crs.py:153(_is_epsg_code)
        3    0.000    0.000    0.000    0.000 common.py:544(is_string_dtype)
        3    0.000    0.000    0.000    0.000 common.py:1532(_is_dtype)
        7    0.000    0.000    0.000    0.000 managers.py:172(blknos)
        4    0.000    0.000    0.000    0.000 managers.py:2069(internal_values)
        2    0.000    0.000    0.000    0.000 base.py:1023(view)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        7    0.000    0.000    0.000    0.000 managers.py:2433(_using_copy_on_write)
        6    0.000    0.000    0.000    0.000 config.py:638(_translate_key)
        2    0.000    0.000    0.000    0.000 _methods.py:47(_sum)
        4    0.000    0.000    0.000    0.000 nanops.py:86(<genexpr>)
        4    0.000    0.000    0.000    0.000 construction.py:733(_maybe_repeat)
        6    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        2    0.000    0.000    0.000    0.000 managers.py:642(copy_func)
        2    0.000    0.000    0.000    0.000 enum.py:774(__hash__)
        1    0.000    0.000    0.000    0.000 nanops.py:403(new_func)
        1    0.000    0.000    0.000    0.000 crs.py:125(_prepare_from_string)
        5    0.000    0.000    0.000    0.000 {method '__array__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 base.py:106(__eq__)
        3    0.000    0.000    0.000    0.000 frame.py:4234(_ensure_valid_index)
        3    0.000    0.000    0.000    0.000 blocks.py:1648(iget)
        3    0.000    0.000    0.000    0.000 series.py:1267(_set_as_cached)
        9    0.000    0.000    0.000    0.000 common.py:146(classes)
        3    0.000    0.000    0.000    0.000 common.py:1433(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 missing.py:191(_isna)
        2    0.000    0.000    0.000    0.000 arraylike.py:40(__eq__)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
        6    0.000    0.000    0.000    0.000 managers.py:2009(_block)
        2    0.000    0.000    0.000    0.000 common.py:1246(is_float_dtype)
        1    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        5    0.000    0.000    0.000    0.000 common.py:1556(get_dtype)
        3    0.000    0.000    0.000    0.000 base.py:839(is_)
        3    0.000    0.000    0.000    0.000 frame.py:1498(__len__)
       10    0.000    0.000    0.000    0.000 generic.py:353(flags)
        1    0.000    0.000    0.000    0.000 geodataframe.py:1542(__finalize__)
        1    0.000    0.000    0.000    0.000 generic.py:11492(sum)
        9    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
        5    0.000    0.000    0.000    0.000 generic.py:332(attrs)
        1    0.000    0.000    0.000    0.000 contextlib.py:114(__enter__)
        1    0.000    0.000    0.000    0.000 managers.py:1061(from_blocks)
        2    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 managers.py:272(<listcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:1860(<listcomp>)
        1    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 frame.py:609(__init__)
        1    0.000    0.000    0.001    0.001 crs.py:379(from_epsg)
        2    0.000    0.000    0.000    0.000 crs.py:1557(__eq__)
        8    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 base.py:5464(equals)
        3    0.000    0.000    0.000    0.000 nanops.py:79(check)
        5    0.000    0.000    0.000    0.000 flags.py:53(allows_duplicate_labels)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
       11    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 common.py:1048(is_numeric_v_string_like)
        1    0.000    0.000    0.000    0.000 transformer.py:297(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 common.py:573(condition)
        1    0.000    0.000    0.000    0.000 nanops.py:469(newfunc)
        8    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 crs.py:60(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:445(_validate_dtype)
        4    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'isnumeric' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'is_exact_same' of 'pyproj._crs.Base' objects}
        4    0.000    0.000    0.000    0.000 geodataframe.py:1516(_constructor_sliced)
        6    0.000    0.000    0.000    0.000 base.py:6569(_maybe_cast_indexer)
        2    0.000    0.000    0.000    0.000 construction.py:713(_sanitize_str_dtypes)
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _validators.py:226(validate_bool_kwarg)
        3    0.000    0.000    0.000    0.000 base.py:2622(is_categorical)
        1    0.000    0.000    0.000    0.000 generic.py:11777(sum)
        3    0.000    0.000    0.000    0.000 managers.py:262(_clear_reference_block)
        1    0.000    0.000    0.000    0.000 managers.py:645(<listcomp>)
        1    0.000    0.000    0.000    0.000 common.py:684(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:77(get_op_result_name)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
        3    0.000    0.000    0.000    0.000 managers.py:188(blklocs)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 crs.py:145(_prepare_from_authority)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 base.py:494(find)
        2    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
        4    0.000    0.000    0.000    0.000 base.py:5090(_values)
        6    0.000    0.000    0.000    0.000 typing.py:1374(cast)
        1    0.000    0.000    0.000    0.000 nanops.py:350(_na_ok_dtype)
        1    0.000    0.000    0.000    0.000 nanops.py:1453(_maybe_null_out)
        1    0.000    0.000    0.000    0.000 base.py:46(__len__)
        1    0.000    0.000    0.000    0.000 array.py:37(construct_from_string)
        4    0.000    0.000    0.000    0.000 base.py:166(kind)
        1    0.000    0.000    0.000    0.000 managers.py:1846(is_consolidated)
        1    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
        1    0.000    0.000    0.000    0.000 cast.py:1422(sanitize_to_nanoseconds)
        2    0.000    0.000    0.000    0.000 base.py:870(_reset_identity)
        2    0.000    0.000    0.000    0.000 common.py:1154(needs_i8_conversion)
        2    0.000    0.000    0.000    0.000 {built-in method pyproj._compat.cstrencode}
        1    0.000    0.000    0.000    0.000 crs.py:149(_prepare_from_epsg)
        1    0.000    0.000    0.000    0.000 nanops.py:217(_maybe_get_mask)
